country,iso3c,year,Pillar 1  - Data Use - Score,Pillar 2 - Data Services - Score,Pillar 3 - Data Products - Score,Pillar 4 - Data Sources - Score,Pillar 5 - Data Infrastructure - Score,SPI Overall Score,Dimension 1.5: Data use by international organizations,Dimension 2.1: Data Releases,Dimension 2.2: Online access,Dimension 2.4: Data services,Dimension 3.1: Social Statistics,Dimension 3.2: Economic Statistics,Dimension 3.3: Environmental Statistics,Dimension 3.4: Institutional Statistics,Dimension 4.1: Censuses,Dimension 4.1: Surveys,Dimension 4.2: Administrative Data,Dimension 4.3: Geospatial Data,Dimension 5.1: Legislation and governance,Dimension 5.2: Standards and Methods,Dimension 5.5: Finance,Dimension 1.5: Data use by international organisations - Availability of Comparable Poverty headcount ratio at $2.15 a day,"Dimension 1.5: Data use by international organisations - Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME",Dimension 1.5: Data use by international organisations - Quality of Debt service data according to World Bank,Dimension 1.5: Data use by international organisations - Safely Managed Drinking Water,Dimension 1.5: Data use by international organisations - Labor force participation rate by sex and age (%),Dimension 2.1: Data releases - SDDS/e-GDDS subscription,Dimension 2.2: Online access - Machine Readability Score,Dimension 2.2: Online access - Non-Proprietary format Score,Dimension 2.2: Online access - Download Options Score,Dimension 2.2: Online access - Metadata Available Score,Dimension 2.2: Online access - Terms of Use Score,Dimension 2.2: Online access - ODIN Open Data Openness score,Dimension 2.4: Data access services - NADA metadata,Dimension 3.1: SDG Goal 1 - GOAL 1: No Poverty,Dimension 3.2: SDG Goal 2 - GOAL 2: Zero Hunger,Dimension 3.3: SDG Goal 3 - GOAL 3: Good Health and Well-being,Dimension 3.4: SDG Goal 4 - GOAL 4: Quality Education,Dimension 3.5: SDG Goal 5 - GOAL 5: Gender Equality,Dimension 3.6: SDG Goal 6 - GOAL 6: Clean Water and Sanitation,Dimension 3.7: SDG Goal 7 - GOAL 7: Affordable and Clean Energy,Dimension 3.8: SDG Goal 8 - GOAL 8: Decent Work and Economic Growth,"Dimension 3.9: SDG Goal 9 - GOAL 9: Industry, Innovation and Infrastructure",Dimension 3.10: SDG Goal 10 - GOAL 10: Reduced Inequality,Dimension 3.11: SDG Goal 11 - GOAL 11: Sustainable Cities and Communities,Dimension 3.12: SDG Goal 12 - GOAL 12: Responsible Consumption and Production,Dimension 3.13: SDG Goal 13 - GOAL 13: Climate Action,Dimension 3.15: SDG Goal 15 - GOAL 15: Life on Land,Dimension 3.16: SDG Goal 16 - GOAL 16: Peace and Justice Strong Institutions,Dimension 3.17: SDG Goal 17 - GOAL 17: Partnerships to achieve the Goal,Dimension 4.1: censuses and surveys - Population & Housing census,Dimension 4.1: censuses and surveys - Agriculture census,Dimension 4.1: censuses and surveys - Business/establishment census,"Dimension 4.1: censuses and surveys - Household Survey on income, etc",Dimension 4.1: censuses and surveys - Agriculture survey,Dimension 4.1: censuses and surveys - Labor Force Survey,Dimension 4.1: censuses and surveys - Health/Demographic survey,Dimension 4.1: censuses and surveys - Business/establishment survey,Dimension 4.2: administrative data - CRVS (WDI),Dimension 4.3: geospatial data - Geospatial data available at 1st Admin Level,Dimension 5.1: Legislation and governance - Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,Dimension 5.2: standards - System of national accounts in use,Dimension 5.2: standards - National Accounts base year,Dimension 5.2: standards - Classification of national industry,Dimension 5.2: standards - CPI base year,Dimension 5.2: standards - Classification of household consumption,Dimension 5.2: standards - Classification of status of employment,Dimension 5.2: standards - Central government accounting status,Dimension 5.2: standards - Compilation of government finance statistics,Dimension 5.2: standards - Compilation of monetary and financial statistics,Dimension 5.2: standards - Business process,Dimension 5.5: Finance - Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,income,region,weights,population
Finland,FIN,2022,100,96.43333333,88.4875,83.25833333,100,93.63583333,1,1,0.893,1,0.885833333,0.857,0.9445,0.906,0.833333333,0.934,1,0.563,1,1,1,1,1,1,1,1,1,0.933,1,0.745,0.852,0.936,0.893,1,1,0.8,0.84,0.8,1,0.875,0.667,1,1,0.875,0.8,0.8,1,0.889,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.563,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5556106
Norway,NOR,2022,100,97.13333333,87.2375,83.10833333,100,93.49583333,1,1,0.914,1,0.9025,0.840333333,0.9445,0.806,0.833333333,1,1,0.491,1,1,1,1,1,1,1,1,1,0.983,1,0.769,0.817,1,0.914,1,1,0.9,0.84,0.8,1,0.875,0.667,1,0.9,0.875,0.8,0.8,1,0.889,0.8,0.812,1,0.5,1,1,1,1,1,1,1,0.491,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5457127
Canada,CAN,2022,100,92.6,83.6875,88.325,100,92.9225,1,1,0.778,1,0.8425,0.861166667,0.778,0.806,1,1,1,0.533,1,1,1,1,1,1,1,1,1,0.9,1,0.612,0.893,0.483,0.778,1,1,0.9,0.88,0.6,0.8,0.875,0.667,1,0.9,1,0.8,0.8,0.667,0.889,0.8,0.812,1,1,1,1,1,1,1,1,1,0.533,1,1,1,1,1,1,1,1,1,1,1,1,High income,North America,1,38929902
Netherlands,NLD,2022,100,96.9,87.76875,79.45833333,100,92.82541667,1,1,0.907,1,0.845833333,0.877833333,0.9445,0.906,0.833333333,0.934,1,0.411,1,1,1,1,1,1,1,1,1,0.933,0.933,0.817,0.917,0.933,0.907,1,1,0.8,0.8,0.8,0.8,0.875,0.667,1,1,1,0.8,0.8,1,0.889,1,0.812,1,0.5,1,1,0.67,1,1,1,1,0.411,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,17700982
United States,USA,2022,100,93.6,85.95,84.4,100,92.79,1,1,0.808,1,0.855833333,0.861166667,0.95,0.775,1,1,1,0.376,1,1,1,1,1,1,1,1,1,0.917,0.933,0.693,0.595,0.9,0.808,1,1,0.9,0.96,0.6,0.8,0.875,0.667,1,0.9,1,0.8,0.8,1,0.9,0.8,0.75,1,1,1,1,1,1,1,1,1,0.376,1,1,1,1,1,1,1,1,1,1,1,1,High income,North America,1,333287557
Slovenia,SVN,2022,100,97.53333333,87.075,78.05833333,100,92.53333333,1,1,0.926,1,0.819166667,0.857,1,0.9375,0.833333333,0.934,1,0.355,1,1,1,1,1,1,1,1,1,0.967,1,0.843,0.902,0.917,0.926,1,1,0.8,0.84,0.6,0.8,0.875,0.667,1,1,0.875,0.8,0.8,1,1,1,0.875,1,0.5,1,1,1,1,0.67,1,1,0.355,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,2111986
Sweden,SWE,2022,100,96,86.43125,78.70833333,100,92.22791667,1,1,0.88,1,0.8125,0.857,1,0.906,0.833333333,0.934,1,0.381,1,1,1,1,1,1,1,1,1,0.9,0.967,0.817,0.85,0.867,0.88,1,1,0.8,0.8,0.6,0.8,0.875,0.667,1,1,0.875,0.8,0.8,1,1,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.381,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,10486941
Italy,ITA,2022,100,93,88.7125,77.75833333,100,91.89416667,1,1,0.79,1,0.819166667,0.911166667,1,0.906,0.833333333,1,1,0.277,1,1,1,1,1,1,1,1,1,0.933,0.786,0.617,0.779,0.838,0.79,1,1,0.8,0.84,0.6,0.8,0.875,0.667,1,1,1,1,0.8,1,1,1,0.812,1,0.5,1,1,1,1,1,1,1,0.277,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,58940425
Denmark,DNK,2022,90,98.66666667,86.45625,82.93333333,100,91.61125,0.9,1,0.96,1,0.8525,0.836166667,0.9445,0.906,0.833333333,0.934,1,0.55,1,1,1,1,1,1,0.5,1,1,1,1,0.819,0.983,1,0.96,1,1,0.8,0.84,0.6,1,0.875,0.667,1,1,0.75,0.8,0.8,1,0.889,1,0.812,1,0.5,1,1,1,1,0.67,1,1,0.55,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,5903037
Poland,POL,2022,90,97.06666667,86.8375,83.95833333,100,91.5725,0.9,1,0.912,1,0.8025,0.877833333,1,0.906,0.833333333,0.868,1,0.657,1,1,1,1,1,1,0.5,1,1,1,1,0.669,0.893,1,0.912,1,1,0.7,0.84,0.6,0.8,0.875,0.667,1,1,1,0.8,0.8,1,1,1,0.812,1,0.5,1,1,0.67,1,0.67,1,1,0.657,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,36821749
Spain,ESP,2022,100,91.06666667,82.8625,83.10833333,100,91.4075,1,1,0.732,1,0.835333333,0.827833333,0.8335,0.806,0.833333333,1,1,0.491,1,1,1,1,1,1,1,1,1,0.867,1,0.607,0.736,0.452,0.732,1,0.857,0.8,0.88,0.8,0.8,0.875,0.667,1,0.9,1,0.6,0.8,0.667,1,0.8,0.812,1,0.5,1,1,1,1,1,1,1,0.491,1,1,1,1,1,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,47778340
Germany,DEU,2022,100,94.86666667,84.9625,81.75833333,95,91.3175,1,1,0.846,1,0.8025,0.861166667,1,0.806,0.833333333,1,1,0.437,1,0.95,1,1,1,1,1,1,1,1,1,0.745,0.548,0.936,0.846,1,1,0.7,0.84,0.8,0.6,0.875,0.667,1,0.9,1,0.8,0.8,1,1,0.8,0.812,1,0.5,1,1,1,1,1,1,1,0.437,1,1,1,1,0.5,1,1,1,1,1,1,1,High income,Europe & Central Asia,1,83797985
